,postal_code,county,city_zone,city,region_level1,region_level2,district,neighbourhood,street,country,surface_house,surface_house_max,surface_house_min,planta,rooms,bathrooms,price,price_max,price_min,property_type,property_state,property_sub,ad_publisher_type,create_date,publish_date,transaction,company,telefon,link
0,33002,Comarca de Oviedo,"Oviedo ,Centro",Oviedo ,Asturias,Asturias,Centro,Zona Teatro Campoamor,,España,115,,,9ª planta,3,2,295000,,,Flat,Good,Flat,professional,06/09/2018 22:06:05,06/09/2018 22:06:05,venta,LOOK & FIND OVIEDO,984988114,https://www.fotocasa.es/vivienda/oviedo/calefaccion-terraza-ascensor-zona-teatro-campoamor-148218913?RowGrid=1&tti=1&opi=300
1,28913,Zona Sur de Madrid,San Nicasio - Campo de Tiro - Solagua,Leganés,Madrid,Madrid,San Nicasio - Campo de Tiro - Solagua,,RIO MANZANARES,España,66,,,3ª planta,3,1,110000,,,Flat,VeryGood,Flat,professional,29/01/2019 12:21:31,29/01/2019 12:21:31,venta,INMOBILIARIA FERRERO,916354213,https://www.fotocasa.es/vivienda/leganes/aire-acondicionado-calefaccion-calle-rio-manzanares-149789921?RowGrid=2&tti=1&opi=300
2,08014,Barcelonès,Sants, Barcelona Capital,Cataluña,Barcelona,Sants - Montjuïc,Sants,eusebi planas,España,68,,,3ª planta,3,1,212000,,,Flat,Good,Flat,professional,05/12/2018 18:16:04,05/12/2018 18:16:04,venta,VEÍ NOU,932753163,https://www.fotocasa.es/vivienda/barcelona-capital/calle-eusebi-planas-149271255?RowGrid=3&tti=1&opi=300
3,08028,Barcelonès,Sants, Barcelona Capital,Cataluña,Barcelona,Sants - Montjuïc,Sants,Galileu,España,85,,,1ª planta,3,1,270000,,,Flat,VeryGood,Flat,professional,24/01/2019 16:09:20,24/01/2019 16:09:20,venta,VEÍ NOU,932753163,https://www.fotocasa.es/vivienda/barcelona-capital/ascensor-no-amueblado-calle-galileu-149743840?RowGrid=4&tti=1&opi=300
4,28913,Zona Sur de Madrid,Leganés - San Nicasio - Campo de Tiro - Solagua,Leganés,Madrid,Madrid,San Nicasio - Campo de Tiro - Solagua,,,España,61,,,4ª planta,3,1,121000,,,Flat,AlmostNew,Flat,professional,11/01/2019 19:11:38,11/01/2019 19:11:38,venta,INMOBILIARIA FERRERO,916354213,https://www.fotocasa.es/vivienda/leganes/aire-acondicionado-calefaccion-terraza-amueblado-san-nicasio-campo-de-tiro-solagua-149590237?RowGrid=5&tti=1&opi=300
