URL,adress,describe,detail_1,detail_2,ft,image_urls,latitude,longitude,price,stat_text,tel,title,title_minor,txt_diposit,vender_name,vender_type
https://www.idealista.com/inmueble/84487014/," Lloret de mar , Distrito Casc Antic , Lloret de Mar , La Selva, Girona "," ""Se vende piso con LICENCIA TURÍSTICA en Fanals.,Tiene 45m2, 1 habitación de matrimonio, baño grande con ducha, amplio recibidor, salón- comedor soleado.,Terraza ,Plaza de parking,Recién rehabilitado el edificio ,El piso está bien conservado,Ascensor ,Alta rentabilidad!"" ","50 m² construidos, 45 m² útiles,1 habitación,1 baño,Terraza,Plaza de garaje incluida en el precio,Segunda mano/buen estado,Construido en 1970,Calefacción central,Certificación energética: no indicado"," Planta 1ª exterior , Con ascensor ","50 m²,1 hab.,1ª planta exterior con ascensor,Garaje incluido",,41.6973051,2.8460021,90000,Anuncio actualizado el 29 de marzo,972933590,Piso en venta en Lloret de mar,"Casc Antic, Lloret de Mar",,Melionor 2007,Profesional
https://www.idealista.com/inmueble/39537141/," , Distrito Urbanitzacions , Lloret de Mar , La Selva, Girona "," ""Casa de 1 sola planta, del año 2000, de 90m², terreno de 600m² con vista despejada a la montaña.,3 habitaciones dobles.,1 baño completo.,Cocina independiente totalmente equipada.,Salón y comedor amplio de 25m2 con chimenea y salida a la terraza con ventanal.,Ventanas de aluminio doble cristal y rejas.,Una terraza 60m2, jardín y trastero.,Posibilitad de hacer una piscina.,Casa impecable, lista para entrar a vivir, situada en una urbanización a 5min de las playas de Lloret.,Calificación energética: consumo: F 311, Emissionnes: F 65,Inmo Low Cost vuestra agencia inmobiliaria de Lloret de Mar."" "," Casa o chalet,1 planta,90 m² construidos,3 habitaciones,1 baño,Parcela de 600 m²,Construido en 2000",,"90 m²,3 hab.",,41.7500179,2.8249539,169500,Anuncio actualizado el 2 de abril,972935410, Casa o chalet en venta en Urbanitzacions,Lloret de Mar,,"INMO LOW COST LLORET, S.L.",Profesional
https://www.idealista.com/inmueble/82792012/," , Distrito Urbanitzacions , Lloret de Mar , La Selva, Girona "," ""Gran casa con 3 viviendas con piscina, garaje y parking.,Superficie de 180m2 con una parcela de 520m2.,3 apartamentos de 60m2 aproximadamente,,2 apartamentos con 3 dormitorios, 1 baño, cocina y sala de estar con salida a la terraza con vistas abiertas, chimenea y aire acondicionado.,En la planta baja hay un apartamento de 60 m2 con cocina abierta al salón y salida a la piscina, 1 baño completo y un dormitorio.,Cada piso es indépendante y tiene aire acondicionado.,Hermosa piscina soleada, rincón de verano con porche y barbacoa, 2 garajes.,Impuesto a la propiedad: 1.000 €,Ubicado en una calle tranquila en la urbanitzacion de Aigua Viva a solo 5 km de Lloret de Mar.,IDEAL INVERSIÓN EN ALQUILER!,Encuentra más en."" "," Casa o chalet independiente,3 plantas,180 m² construidos,7 habitaciones,3 baños,Parcela de 520 m²,Terraza,Calefacción individual: Eléctrica"," Piscina , Jardín ","180 m²,7 hab.",,41.7492069,2.8202042,220000,Anuncio actualizado el 3 de abril,972935410, Casa o chalet independiente en venta en Urbanitzacions,Lloret de Mar,,"INMO LOW COST LLORET, S.L.",Profesional
